PERSON_ID,REGION,MAIN_FIELD,INTERNATIONAL_COAUTHOR,GENDER,GDP_PC_ORIGIN,AGE,PPY,COPP,CPP,MOBILE
193693,Europe & Central Asia,Health Sciences,1,1,35149.2922257143,14,5.21428571428571,4.43835616438356,14.5616438356164,1
6114,Latin America & Caribbean,Physical Sciences,1,1,15135.5595833333,17,7.88235294117647,0.746268656716418,25.8283582089552,1
525141,East Asia & Pacific,Physical Sciences,1,1,32168.1393709524,13,0.692307692307692,3.11111111111111,2.33333333333333,1
616977,Europe & Central Asia,Physical Sciences,1,0,16781.6240290952,21,5.33333333333333,2.63392857142857,27.6160714285714,1
6685,Latin America & Caribbean,Life Sciences,1,0,15135.5595833333,20,1.7,2.79411764705882,28.5294117647059,1
72224,North America,Life Sciences,1,0,36054.8396904762,21,3.28571428571429,1.78260869565217,24.7246376811594,1
156623,Europe & Central Asia,Life Sciences,1,1,35149.2922257143,16,3.6875,1.91525423728814,12.6271186440678,1
44755,Sub-Saharan Africa,Life Sciences,1,1,2174.018601,16,1.5,2.58333333333333,24.2916666666667,1
342167,Europe & Central Asia,Health Sciences,1,1,32993.7535514286,21,7.85714285714286,2.90909090909091,23.0424242424242,1
419079,Europe & Central Asia,Life Sciences,1,1,31642.1296719048,15,8.4,4.57142857142857,46.1507936507937,1
157271,Europe & Central Asia,Physical Sciences,1,1,35149.2922257143,21,3.14285714285714,1.37878787878788,11.3636363636364,1
137388,East Asia & Pacific,Physical Sciences,1,1,6801.14156919048,21,5.19047619047619,1.6605504587156,17.605504587156,1
345815,Europe & Central Asia,Physical Sciences,1,1,32993.7535514286,21,10,16.5809523809524,12.9380952380952,1
235979,Europe & Central Asia,Health Sciences,1,1,27787.0150390476,19,3.10526315789474,2.8135593220339,14.8474576271186,1
254189,Europe & Central Asia,Physical Sciences,1,1,33685.8323447619,21,4.28571428571429,6.72222222222222,29.1444444444444,1
216230,Middle East & North Africa,Physical Sciences,1,1,7954.62566528571,21,0.380952380952381,2.875,19.625,1
664226,Europe & Central Asia,Physical Sciences,1,1,37083.4250842857,18,2.11111111111111,4.23684210526316,35.7894736842105,1
55827,Latin America & Caribbean,Health Sciences,1,0,11837.3063025714,19,3.26315789473684,21.8709677419355,27.1612903225806,1
330924,Europe & Central Asia,Health Sciences,1,0,32993.7535514286,15,12.3333333333333,37.1027027027027,36.5675675675676,1
90271,North America,Health Sciences,1,0,36054.8396904762,21,5.57142857142857,1.52991452991453,10.974358974359,1
637866,Europe & Central Asia,Physical Sciences,1,0,14994.1721550952,20,5.2,4.80769230769231,17.3461538461538,1
253227,Europe & Central Asia,Physical Sciences,1,1,33685.8323447619,21,8.42857142857143,1.46892655367232,24.0734463276836,1
252178,Europe & Central Asia,Health Sciences,1,1,33685.8323447619,21,14.8095238095238,1.10289389067524,17.4694533762058,1
100033,Europe & Central Asia,Health Sciences,1,1,46420.2556395238,20,0.75,10.2,33.2666666666667,1
589316,Europe & Central Asia,Physical Sciences,1,1,39541.877177619,20,3.05,1,25.327868852459,1
333347,Europe & Central Asia,Health Sciences,1,1,32993.7535514286,21,0.428571428571429,135.555555555556,14.1111111111111,1
42314,Europe & Central Asia,Health Sciences,1,1,34923.2332623809,21,28,3.06802721088435,29.5442176870748,1
405692,Middle East & North Africa,Physical Sciences,1,1,13436.0027122381,21,8.80952380952381,6.42702702702703,15.1189189189189,1
252100,Europe & Central Asia,Physical Sciences,1,1,33685.8323447619,21,3.19047619047619,0.611940298507463,13.4776119402985,1
210237,Europe & Central Asia,Physical Sciences,1,1,36832.924392381,21,14.2380952380952,0.979933110367893,37.8127090301003,1
939400,North America,Physical Sciences,1,1,44202.2401857143,21,35.2380952380952,1.70675675675676,25,1
358877,Europe & Central Asia,Physical Sciences,1,1,32993.7535514286,21,0.904761904761905,0.421052631578947,0.842105263157895,1
83230,North America,Physical Sciences,1,0,36054.8396904762,14,3.14285714285714,0.840909090909091,17.7727272727273,1
446840,Europe & Central Asia,Physical Sciences,1,1,31642.1296719048,18,35.6666666666667,25.2928348909657,31.8333333333333,1
575462,Sub-Saharan Africa,Health Sciences,1,1,1542.39831138095,20,0.7,8,9.57142857142857,1
658867,Europe & Central Asia,Health Sciences,1,1,24293.1096704762,21,8.71428571428571,7.85792349726776,22.2021857923497,1
697970,Europe & Central Asia,Physical Sciences,1,0,7151.90889333333,20,1.9,3.28947368421053,23.7894736842105,1
273069,Europe & Central Asia,Life Sciences,1,0,31992.4621838095,15,1.33333333333333,2.9,29.25,1
521819,East Asia & Pacific,Life Sciences,1,1,32168.1393709524,21,4.52380952380952,3.07368421052632,33.3578947368421,1
